id,name,protein,fat,carbohydrate,vitaminA,vitaminB1,vitaminB2,vitaminB3,vitaminB5,vitaminB6,vitaminB12,vitaminC,vitaminD,vitaminK
154,とうもろこし　コーンフレーク　　　,7.8,1.7,83.6,10,0.03,0.02,0.3,0.22,0.04,0,0,0,0
155,はとむぎ　精白粒　　　,13.3,1.3,72.2,0,0.02,0.05,0.5,0.16,0.07,0,0,0,0
156,ひえ　精白粒　　　,9.4,3.3,73.2,0,0.25,0.02,0.4,1.5,0.17,0,0,0,0
157,もろこし　玄穀　　　,10.3,4.7,71.1,0,0.35,0.1,6,1.42,0.31,0,0,0,0
158,もろこし　精白粒　　　,9.5,2.6,74.1,0,0.1,0.03,3,0.66,0.24,0,0,0,0
159,ライむぎ　全粒粉　　　,12.7,2.7,70.7,0,0.47,0.2,1.7,0.87,0.22,0,0,0,0
160,ライむぎ　ライ麦粉　　　,8.5,1.6,75.8,0,0.15,0.07,0.9,0.63,0.1,0,0,0,0
161,穀類混合品　五穀　,12.6,2.8,70.2,1,0.34,0.07,3.5,0.58,0.24,Tr,Tr,0,8
162,＜いも類＞きくいも　塊茎　生　　　,1.9,0.4,14.7,0,0.08,0.04,1.6,0.37,0.09,0,10,0,0
163,＜いも類＞きくいも　塊茎　水煮　　　,1.6,0.5,11.3,0,0.06,0.03,1.2,0.29,0.06,0,6,0,0
164,＜いも類＞こんにゃく　精粉　　　,3,0.1,85.3,0,0,0,0,1.52,1.2,0,0,0,0
165,＜いも類＞こんにゃく　板こんにゃく　精粉こんにゃく　　,0.1,0,2.3,0,0,0,0,0,0.02,0,0,0,0
166,＜いも類＞こんにゃく　板こんにゃく　生いもこんにゃく　　,0.1,0.1,3.3,0,0,0,Tr,0,0.02,0,0,0,0
167,＜いも類＞こんにゃく　赤こんにゃく　　　,0.1,0,2.5,0,0,0,0,0,0.02,0,0,0,0
168,＜いも類＞こんにゃく　凍みこんにゃく　乾　　,3.3,1.4,77.1,0,0,0,0.3,0,0.48,0,0,0,0
